"labels" "subject" "variable" "mean"
"79" "LAYING" 2 "tBodyAccJerk-mean()-X" 0.0825972511666667
"80" "LAYING" 2 "tBodyAccJerk-mean()-Y" 0.012254788451875
"81" "LAYING" 2 "tBodyAccJerk-mean()-Z" -0.00180264895625
"82" "LAYING" 2 "tBodyAccJerk-std()-X" -0.98587216875
"83" "LAYING" 2 "tBodyAccJerk-std()-Y" -0.98317254125
"84" "LAYING" 2 "tBodyAccJerk-std()-Z" 0.00766428163541667
"85" "LAYING" 2 "tBodyGyro-mean()-X" -0.01847660675
"86" "LAYING" 2 "tBodyGyro-mean()-Y" -0.111800824583333
"87" "LAYING" 2 "tBodyGyro-mean()-Z" 0.144882846104167
"88" "LAYING" 2 "tBodyGyro-std()-X" -0.988275232916667
"89" "LAYING" 2 "tBodyGyro-std()-Y" -0.982291608958333
"90" "LAYING" 2 "tBodyGyro-std()-Z" -0.2496791615
"91" "LAYING" 2 "tBodyGyroJerk-mean()-X" -0.101974134208333
"92" "LAYING" 2 "tBodyGyroJerk-mean()-Y" -0.0358590176083333
"93" "LAYING" 2 "tBodyGyroJerk-mean()-Z" -0.0701783020833333
"94" "LAYING" 2 "tBodyGyroJerk-std()-X" -0.993235849166667
"95" "LAYING" 2 "tBodyGyroJerk-std()-Y" -0.989567537916667
"96" "LAYING" 2 "tBodyGyroJerk-std()-Z" -0.0966764838083333
"97" "LAYING" 2 "tBodyAccMag-mean()" -0.977435485208333
"98" "LAYING" 2 "tBodyAccMag-std()" -0.244819853270833
"99" "LAYING" 2 "tGravityAccMag-mean()" -0.977435485208333
"100" "LAYING" 2 "tGravityAccMag-std()" -0.244819853270833
"101" "LAYING" 2 "tBodyAccJerkMag-mean()" -0.987741696041667
"102" "LAYING" 2 "tBodyAccJerkMag-std()" -0.05547647891875
"103" "LAYING" 2 "tBodyGyroMag-mean()" -0.950011569583333
"104" "LAYING" 2 "tBodyGyroMag-std()" -0.141203233875
"105" "LAYING" 2 "tBodyGyroJerkMag-mean()" -0.991767074166667
"106" "LAYING" 2 "tBodyGyroJerkMag-std()" 0.00630606409166667
"107" "LAYING" 2 "fBodyAcc-mean()-X" -0.976725059791667
"108" "LAYING" 2 "fBodyAcc-mean()-Y" -0.979800877916667
"109" "LAYING" 2 "fBodyAcc-mean()-Z" -0.984380981875
"110" "LAYING" 2 "fBodyAcc-std()-X" -0.973246482083333
"111" "LAYING" 2 "fBodyAcc-std()-Y" -0.981025105625
"112" "LAYING" 2 "fBodyAcc-std()-Z" -0.999718574583333
"113" "LAYING" 2 "fBodyAccJerk-mean()-X" -0.985813630833333
"114" "LAYING" 2 "fBodyAccJerk-mean()-Y" -0.982768250416667
"115" "LAYING" 2 "fBodyAccJerk-mean()-Z" -0.986197134583333
"116" "LAYING" 2 "fBodyAccJerk-std()-X" -0.987250255833333
"117" "LAYING" 2 "fBodyAccJerk-std()-Y" -0.984987392916667
"118" "LAYING" 2 "fBodyAccJerk-std()-Z" -0.999754638125
"119" "LAYING" 2 "fBodyGyro-mean()-X" -0.9864311425
"120" "LAYING" 2 "fBodyGyro-mean()-Y" -0.983321635416667
"121" "LAYING" 2 "fBodyGyro-mean()-Z" -0.9626718875
"122" "LAYING" 2 "fBodyGyro-std()-X" -0.988860685833333
"123" "LAYING" 2 "fBodyGyro-std()-Y" -0.981910616458333
"124" "LAYING" 2 "fBodyGyro-std()-Z" -0.999533052708333
"125" "LAYING" 2 "fBodyAccMag-mean()" -0.975110196458333
"126" "LAYING" 2 "fBodyAccMag-std()" -0.6331577990625
"127" "LAYING" 2 "fBodyBodyAccJerkMag-mean()" -0.985374114791667
"128" "LAYING" 2 "fBodyBodyAccJerkMag-std()" -0.816016455645833
"129" "LAYING" 2 "fBodyBodyGyroMag-mean()" -0.972112972708333
"130" "LAYING" 2 "fBodyBodyGyroMag-std()" -0.432302279375
"131" "LAYING" 2 "fBodyBodyGyroJerkMag-mean()" -0.990248702291667
"132" "LAYING" 2 "fBodyBodyGyroJerkMag-std()" -0.478928233958333
"133" "LAYING" 3 "tBodyAcc-mean()-X" 0.275516852741935
"134" "LAYING" 3 "tBodyAcc-mean()-Y" -0.0189556785048387
"135" "LAYING" 3 "tBodyAcc-mean()-Z" -0.101300477506452
"136" "LAYING" 3 "tBodyAcc-std()-X" -0.982776639193548
"137" "LAYING" 3 "tBodyAcc-std()-Y" -0.962057544516129
"138" "LAYING" 3 "tBodyAcc-std()-Z" -0.376096497496774
"139" "LAYING" 3 "tGravityAcc-mean()-X" -0.241758478064516
"140" "LAYING" 3 "tGravityAcc-mean()-Y" 0.837032099677419
"141" "LAYING" 3 "tGravityAcc-mean()-Z" 0.48870318516129
"142" "LAYING" 3 "tGravityAcc-std()-X" -0.982512193064516
"143" "LAYING" 3 "tGravityAcc-std()-Y" -0.981202749677419
"144" "LAYING" 3 "tGravityAcc-std()-Z" -0.799381606774194
"145" "LAYING" 3 "tBodyAccJerk-mean()-X" 0.0769811125806452
"146" "LAYING" 3 "tBodyAccJerk-mean()-Y" 0.0138041011306452
"147" "LAYING" 3 "tBodyAccJerk-mean()-Z" -0.00435625874355645
"148" "LAYING" 3 "tBodyAccJerk-std()-X" -0.98087931483871
"149" "LAYING" 3 "tBodyAccJerk-std()-Y" -0.968710724677419
"150" "LAYING" 3 "tBodyAccJerk-std()-Z" -0.115638882836774
"151" "LAYING" 3 "tBodyGyro-mean()-X" -0.0208170540330645
"152" "LAYING" 3 "tBodyGyro-mean()-Y" -0.0718507159435484
"153" "LAYING" 3 "tBodyGyro-mean()-Z" 0.137999561112903
"154" "LAYING" 3 "tBodyGyro-std()-X" -0.974545752096774
"155" "LAYING" 3 "tBodyGyro-std()-Y" -0.977272653709677
"156" "LAYING" 3 "tBodyGyro-std()-Z" -0.00417894761129032
"157" "LAYING" 3 "tBodyGyroJerk-mean()-X" -0.10004449883871
"158" "LAYING" 3 "tBodyGyroJerk-mean()-Y" -0.0389771765322581
"159" "LAYING" 3 "tBodyGyroJerk-mean()-Z" -0.06873387
"160" "LAYING" 3 "tBodyGyroJerk-std()-X" -0.980328645
"161" "LAYING" 3 "tBodyGyroJerk-std()-Y" -0.986762741935484
"162" "LAYING" 3 "tBodyGyroJerk-std()-Z" -0.0868143370290323
"163" "LAYING" 3 "tBodyAccMag-mean()" -0.972791346129032
"164" "LAYING" 3 "tBodyAccMag-std()" -0.231628759112903
"165" "LAYING" 3 "tGravityAccMag-mean()" -0.972791346129032
"166" "LAYING" 3 "tGravityAccMag-std()" -0.231628759112903
"167" "LAYING" 3 "tBodyAccJerkMag-mean()" -0.979484593387097
"168" "LAYING" 3 "tBodyAccJerkMag-std()" -0.00137649189032258
"169" "LAYING" 3 "tBodyGyroMag-mean()" -0.951564751451613
"170" "LAYING" 3 "tBodyGyroMag-std()" -0.0614996230322581
"171" "LAYING" 3 "tBodyGyroJerkMag-mean()" -0.98671362516129
"172" "LAYING" 3 "tBodyGyroJerkMag-std()" -0.114798246790323
"173" "LAYING" 3 "fBodyAcc-mean()-X" -0.980665609032258
"174" "LAYING" 3 "fBodyAcc-mean()-Y" -0.961169982903226
"175" "LAYING" 3 "fBodyAcc-mean()-Z" -0.968332141612903
"176" "LAYING" 3 "fBodyAcc-std()-X" -0.983691129032258
"177" "LAYING" 3 "fBodyAcc-std()-Y" -0.964094604193548
"178" "LAYING" 3 "fBodyAcc-std()-Z" -0.999479265483871
"179" "LAYING" 3 "fBodyAccJerk-mean()-X" -0.980513202258064
"180" "LAYING" 3 "fBodyAccJerk-mean()-Y" -0.968752113709677
"181" "LAYING" 3 "fBodyAccJerk-mean()-Z" -0.979122344354839
"182" "LAYING" 3 "fBodyAccJerk-std()-X" -0.983122615967742
"183" "LAYING" 3 "fBodyAccJerk-std()-Y" -0.971044012741936
"184" "LAYING" 3 "fBodyAccJerk-std()-Z" -0.999590742258065
"185" "LAYING" 3 "fBodyGyro-mean()-X" -0.970167262903226
"186" "LAYING" 3 "fBodyGyro-mean()-Y" -0.978099682258065
"187" "LAYING" 3 "fBodyGyro-mean()-Z" -0.962341960806452
"188" "LAYING" 3 "fBodyGyro-std()-X" -0.975986433709677
"189" "LAYING" 3 "fBodyGyro-std()-Y" -0.977032495483871
"190" "LAYING" 3 "fBodyGyro-std()-Z" -0.999567515645161
"191" "LAYING" 3 "fBodyAccMag-mean()" -0.96552427516129
"192" "LAYING" 3 "fBodyAccMag-std()" -0.700263341474194
"193" "LAYING" 3 "fBodyBodyAccJerkMag-mean()" -0.975949597903226
"194" "LAYING" 3 "fBodyBodyAccJerkMag-std()" -0.736096781774194
"195" "LAYING" 3 "fBodyBodyGyroMag-mean()" -0.96458672483871
"196" "LAYING" 3 "fBodyBodyGyroMag-std()" -0.555238914596774
"197" "LAYING" 3 "fBodyBodyGyroJerkMag-mean()" -0.984278251290323
"198" "LAYING" 3 "fBodyBodyGyroJerkMag-std()" -0.346243070483871
"199" "LAYING" 4 "tBodyAcc-mean()-X" 0.263559214981481
"200" "LAYING" 4 "tBodyAcc-mean()-Y" -0.0150031841055556
"201" "LAYING" 4 "tBodyAcc-mean()-Z" -0.110688150314815
"202" "LAYING" 4 "tBodyAcc-std()-X" -0.954193738888889
"203" "LAYING" 4 "tBodyAcc-std()-Y" -0.941714042407407
"204" "LAYING" 4 "tBodyAcc-std()-Z" -0.048102286662037
"205" "LAYING" 4 "tGravityAcc-mean()-X" -0.420664662222222
"206" "LAYING" 4 "tGravityAcc-mean()-Y" 0.915165104259259
"207" "LAYING" 4 "tGravityAcc-mean()-Z" 0.341531310555556
"208" "LAYING" 4 "tGravityAcc-std()-X" -0.921199965925926
"209" "LAYING" 4 "tGravityAcc-std()-Y" -0.969816635740741
"210" "LAYING" 4 "tGravityAcc-std()-Z" -0.155121997962963
"211" "LAYING" 4 "tBodyAccJerk-mean()-X" 0.0934494217777778
"212" "LAYING" 4 "tBodyAccJerk-mean()-Y" 0.00693313213968519
"213" "LAYING" 4 "tBodyAccJerk-mean()-Z" -0.00641054328740741
"214" "LAYING" 4 "tBodyAccJerk-std()-X" -0.978302781111111
"215" "LAYING" 4 "tBodyAccJerk-std()-Y" -0.942209488333333
"216" "LAYING" 4 "tBodyAccJerk-std()-Z" 0.0909557492907407
"217" "LAYING" 4 "tBodyGyro-mean()-X" -0.00923156347222222
"218" "LAYING" 4 "tBodyGyro-mean()-Y" -0.0930128180759259
"219" "LAYING" 4 "tBodyGyro-mean()-Z" 0.169720404092593
"220" "LAYING" 4 "tBodyGyro-std()-X" -0.973102422222222
"221" "LAYING" 4 "tBodyGyro-std()-Y" -0.961109291851852
"222" "LAYING" 4 "tBodyGyro-std()-Z" -0.321137959318333
"223" "LAYING" 4 "tBodyGyroJerk-mean()-X" -0.105019877685185
"224" "LAYING" 4 "tBodyGyroJerk-mean()-Y" -0.0381230432222222
"225" "LAYING" 4 "tBodyGyroJerk-mean()-Z" -0.0712156288333333
"226" "LAYING" 4 "tBodyGyroJerk-std()-X" -0.975103204259259
"227" "LAYING" 4 "tBodyGyroJerk-std()-Y" -0.986855629814815
"228" "LAYING" 4 "tBodyGyroJerk-std()-Z" -0.167199651205556
"229" "LAYING" 4 "tBodyAccMag-mean()" -0.954557603148148
"230" "LAYING" 4 "tBodyAccMag-std()" -0.284821243005556
"231" "LAYING" 4 "tGravityAccMag-mean()" -0.954557603148148
"232" "LAYING" 4 "tGravityAccMag-std()" -0.284821243005556
"233" "LAYING" 4 "tBodyAccJerkMag-mean()" -0.970095771666667
"234" "LAYING" 4 "tBodyAccJerkMag-std()" -0.0149726777944444
"235" "LAYING" 4 "tBodyGyroMag-mean()" -0.930236462592593
"236" "LAYING" 4 "tBodyGyroMag-std()" 0.12539192047963
"237" "LAYING" 4 "tBodyGyroJerkMag-mean()" -0.985068502037037
"238" "LAYING" 4 "tBodyGyroJerkMag-std()" -0.213939327314815
"239" "LAYING" 4 "fBodyAcc-mean()-X" -0.958802077592593
"240" "LAYING" 4 "fBodyAcc-mean()-Y" -0.938883374444444
"241" "LAYING" 4 "fBodyAcc-mean()-Z" -0.967504278888889
"242" "LAYING" 4 "fBodyAcc-std()-X" -0.952464881481481
"243" "LAYING" 4 "fBodyAcc-std()-Y" -0.946380971111111
"244" "LAYING" 4 "fBodyAcc-std()-Z" -0.999148916851852
"245" "LAYING" 4 "fBodyAccJerk-mean()-X" -0.978542457407407
"246" "LAYING" 4 "fBodyAccJerk-mean()-Y" -0.943969987222222
"247" "LAYING" 4 "fBodyAccJerk-mean()-Z" -0.975383329444444
"248" "LAYING" 4 "fBodyAccJerk-std()-X" -0.980079292592593
"249" "LAYING" 4 "fBodyAccJerk-std()-Y" -0.944366881666667
"250" "LAYING" 4 "fBodyAccJerk-std()-Z" -0.999175541296296
"251" "LAYING" 4 "fBodyGyro-mean()-X" -0.967203736481482
"252" "LAYING" 4 "fBodyGyro-mean()-Y" -0.972187839074074
"253" "LAYING" 4 "fBodyGyro-mean()-Z" -0.961479262592593
"254" "LAYING" 4 "fBodyGyro-std()-X" -0.975094739444444
"255" "LAYING" 4 "fBodyGyro-std()-Y" -0.956182500185185
"256" "LAYING" 4 "fBodyGyro-std()-Z" -0.999264759074074
"257" "LAYING" 4 "fBodyAccMag-mean()" -0.939389701296296
"258" "LAYING" 4 "fBodyAccMag-std()" -0.577568230296296
"259" "LAYING" 4 "fBodyBodyAccJerkMag-mean()" -0.96228712537037
"260" "LAYING" 4 "fBodyBodyAccJerkMag-std()" -0.6745744445
"261" "LAYING" 4 "fBodyBodyGyroMag-mean()" -0.961556660185185
"262" "LAYING" 4 "fBodyBodyGyroMag-std()" -0.34980558237037
"263" "LAYING" 4 "fBodyBodyGyroJerkMag-mean()" -0.983609073333333
"264" "LAYING" 4 "fBodyBodyGyroJerkMag-std()" -0.229790432925926
"265" "LAYING" 5 "tBodyAcc-mean()-X" 0.278334325576923
"266" "LAYING" 5 "tBodyAcc-mean()-Y" -0.0183042123269231
"267" "LAYING" 5 "tBodyAcc-mean()-Z" -0.107937603673077
"268" "LAYING" 5 "tBodyAcc-std()-X" -0.965934509615385
"269" "LAYING" 5 "tBodyAcc-std()-Y" -0.969295613269231
"270" "LAYING" 5 "tBodyAcc-std()-Z" -0.072762798925
"271" "LAYING" 5 "tGravityAcc-mean()-X" -0.483470597692308
"272" "LAYING" 5 "tGravityAcc-mean()-Y" 0.954890346153846
"273" "LAYING" 5 "tGravityAcc-mean()-Z" 0.263644691923077
"274" "LAYING" 5 "tGravityAcc-std()-X" -0.945695336153846
"275" "LAYING" 5 "tGravityAcc-std()-Y" -0.985964053846154
"276" "LAYING" 5 "tGravityAcc-std()-Z" -0.165520042884615
"277" "LAYING" 5 "tBodyAccJerk-mean()-X" 0.0848164824230769
"278" "LAYING" 5 "tBodyAccJerk-mean()-Y" 0.00747460829615385
"279" "LAYING" 5 "tBodyAccJerk-mean()-Z" -0.00304067159653846
"280" "LAYING" 5 "tBodyAccJerk-std()-X" -0.983307862115385
"281" "LAYING" 5 "tBodyAccJerk-std()-Y" -0.964560430961538
"282" "LAYING" 5 "tBodyAccJerk-std()-Z" -0.0699166935942308
"283" "LAYING" 5 "tBodyGyro-mean()-X" -0.0218935013501923
"284" "LAYING" 5 "tBodyGyro-mean()-Y" -0.0798709596153846
"285" "LAYING" 5 "tBodyGyro-mean()-Z" 0.159894366942308
"286" "LAYING" 5 "tBodyGyro-std()-X" -0.979498706538461
"287" "LAYING" 5 "tBodyGyro-std()-Y" -0.977427370576923
"288" "LAYING" 5 "tBodyGyro-std()-Z" -0.125226138282692
"289" "LAYING" 5 "tBodyGyroJerk-mean()-X" -0.102114125
"290" "LAYING" 5 "tBodyGyroJerk-mean()-Y" -0.0404446925288462
"291" "LAYING" 5 "tBodyGyroJerk-mean()-Z" -0.07083096875
"292" "LAYING" 5 "tBodyGyroJerk-std()-X" -0.983422257692308
"293" "LAYING" 5 "tBodyGyroJerk-std()-Y" -0.983759479230769
"294" "LAYING" 5 "tBodyGyroJerk-std()-Z" 0.0644917513519231
"295" "LAYING" 5 "tBodyAccMag-mean()" -0.966777882884615
"296" "LAYING" 5 "tBodyAccMag-std()" -0.221290004346154
"297" "LAYING" 5 "tGravityAccMag-mean()" -0.966777882884615
"298" "LAYING" 5 "tGravityAccMag-std()" -0.221290004346154
"299" "LAYING" 5 "tBodyAccJerkMag-mean()" -0.980141253846154
"300" "LAYING" 5 "tBodyAccJerkMag-std()" 0.120529658532692
"301" "LAYING" 5 "tBodyGyroMag-mean()" -0.946938300576923
"302" "LAYING" 5 "tBodyGyroMag-std()" -0.217596050409615
"303" "LAYING" 5 "tBodyGyroJerkMag-mean()" -0.9864194225
"304" "LAYING" 5 "tBodyGyroJerkMag-std()" 0.0646359207115385
"305" "LAYING" 5 "fBodyAcc-mean()-X" -0.968741678461538
"306" "LAYING" 5 "fBodyAcc-mean()-Y" -0.965419520961538
"307" "LAYING" 5 "fBodyAcc-mean()-Z" -0.977007724615385
"308" "LAYING" 5 "fBodyAcc-std()-X" -0.964953893653846
"309" "LAYING" 5 "fBodyAcc-std()-Y" -0.972909186730769
"310" "LAYING" 5 "fBodyAcc-std()-Z" -0.999567811923077
"311" "LAYING" 5 "fBodyAccJerk-mean()-X" -0.982689657115385
"312" "LAYING" 5 "fBodyAccJerk-mean()-Y" -0.965328566153846
"313" "LAYING" 5 "fBodyAccJerk-mean()-Z" -0.983250309423077
"314" "LAYING" 5 "fBodyAccJerk-std()-X" -0.985625270384615
"315" "LAYING" 5 "fBodyAccJerk-std()-Y" -0.96624258
"316" "LAYING" 5 "fBodyAccJerk-std()-Z" -0.999607090961538
"317" "LAYING" 5 "fBodyGyro-mean()-X" -0.975797491730769
"318" "LAYING" 5 "fBodyGyro-mean()-Y" -0.978249645769231
"319" "LAYING" 5 "fBodyGyro-mean()-Z" -0.963202948461538
"320" "LAYING" 5 "fBodyGyro-std()-X" -0.980705769807692
"321" "LAYING" 5 "fBodyGyro-std()-Y" -0.977257800961538
"322" "LAYING" 5 "fBodyGyro-std()-Z" -0.999636561538462
"323" "LAYING" 5 "fBodyAccMag-mean()" -0.962234984038462
"324" "LAYING" 5 "fBodyAccMag-std()" -0.670942828173077
"325" "LAYING" 5 "fBodyBodyAccJerkMag-mean()" -0.977356379807692
"326" "LAYING" 5 "fBodyBodyAccJerkMag-std()" -0.726618746153846
"327" "LAYING" 5 "fBodyBodyGyroMag-mean()" -0.968257068846154
"328" "LAYING" 5 "fBodyBodyGyroMag-std()" -0.407035424
"329" "LAYING" 5 "fBodyBodyGyroJerkMag-mean()" -0.984618025769231
"330" "LAYING" 5 "fBodyBodyGyroJerkMag-std()" -0.168146326730769
"331" "LAYING" 6 "tBodyAcc-mean()-X" 0.248656520140351
"332" "LAYING" 6 "tBodyAcc-mean()-Y" -0.0102529170561404
"333" "LAYING" 6 "tBodyAcc-mean()-Z" -0.133119570368421
"334" "LAYING" 6 "tBodyAcc-std()-X" -0.934049422052632
"335" "LAYING" 6 "tBodyAcc-std()-Y" -0.924644826385965
"336" "LAYING" 6 "tBodyAcc-std()-Z" -0.129551622545614
"337" "LAYING" 6 "tGravityAcc-mean()-X" -0.47670987877193
"338" "LAYING" 6 "tGravityAcc-mean()-Y" 0.956593814210526
"339" "LAYING" 6 "tGravityAcc-mean()-Z" 0.175867709021053
"340" "LAYING" 6 "tGravityAcc-std()-X" -0.887746310350877
"341" "LAYING" 6 "tGravityAcc-std()-Y" -0.959161956491228
"342" "LAYING" 6 "tGravityAcc-std()-Z" -0.185444729473684
"343" "LAYING" 6 "tBodyAccJerk-mean()-X" 0.0963481955263158
"344" "LAYING" 6 "tBodyAccJerk-mean()-Y" -0.00114529240245614
"345" "LAYING" 6 "tBodyAccJerk-mean()-Z" 0.00328817288070175
"346" "LAYING" 6 "tBodyAccJerk-std()-X" -0.966341054736842
"347" "LAYING" 6 "tBodyAccJerk-std()-Y" -0.933674494385965
"348" "LAYING" 6 "tBodyAccJerk-std()-Z" 0.0150510981578947
"349" "LAYING" 6 "tBodyGyro-mean()-X" -0.0079605026754386
"350" "LAYING" 6 "tBodyGyro-mean()-Y" -0.107218315054386
"351" "LAYING" 6 "tBodyGyro-mean()-Z" 0.179102058245614
"352" "LAYING" 6 "tBodyGyro-std()-X" -0.955378225087719
"353" "LAYING" 6 "tBodyGyro-std()-Y" -0.943634949473684
"354" "LAYING" 6 "tBodyGyro-std()-Z" -0.393963659666667
"355" "LAYING" 6 "tBodyGyroJerk-mean()-X" -0.111267284631579
"356" "LAYING" 6 "tBodyGyroJerk-mean()-Y" -0.0424104289992982
"357" "LAYING" 6 "tBodyGyroJerk-mean()-Z" -0.0717774743859649
"358" "LAYING" 6 "tBodyGyroJerk-std()-X" -0.939611608245614
"359" "LAYING" 6 "tBodyGyroJerk-std()-Y" -0.958628819649123
"360" "LAYING" 6 "tBodyGyroJerk-std()-Z" -0.186231540673684
"361" "LAYING" 6 "tBodyAccMag-mean()" -0.918878850824561
"362" "LAYING" 6 "tBodyAccMag-std()" -0.22071468345614
"363" "LAYING" 6 "tGravityAccMag-mean()" -0.918878850824561
"364" "LAYING" 6 "tGravityAccMag-std()" -0.22071468345614
"365" "LAYING" 6 "tBodyAccJerkMag-mean()" -0.954750504912281
"366" "LAYING" 6 "tBodyAccJerkMag-std()" 0.0419022387175439
"367" "LAYING" 6 "tBodyGyroMag-mean()" -0.908980174736842
"368" "LAYING" 6 "tBodyGyroMag-std()" -0.204918133745544
"369" "LAYING" 6 "tBodyGyroJerkMag-mean()" -0.955645738245614
"370" "LAYING" 6 "tBodyGyroJerkMag-std()" 0.061335456454386
"371" "LAYING" 6 "fBodyAcc-mean()-X" -0.939114254210526
"372" "LAYING" 6 "fBodyAcc-mean()-Y" -0.923706791403509
"373" "LAYING" 6 "fBodyAcc-mean()-Z" -0.938044912280702
"374" "LAYING" 6 "fBodyAcc-std()-X" -0.932462941461404
"375" "LAYING" 6 "fBodyAcc-std()-Y" -0.929711219929825
"376" "LAYING" 6 "fBodyAcc-std()-Z" -0.997965739824561
"377" "LAYING" 6 "fBodyAccJerk-mean()-X" -0.967072436842105
"378" "LAYING" 6 "fBodyAccJerk-mean()-Y" -0.936043420175439
